job_id,qpu,qubits,circuit_family,shots_requested,shots_per_circuit,circuits_per_job,shots_executed,timestamp,ibm_created_utc,execution_start_utc,execution_stop_utc,status,sabre_2q_gates,tket_2q_gates,prometheus_2q_gates,sabre_depth,tket_depth,prometheus_depth,ibm_verified,package_sha256,sabre_fidelity,tket_fidelity,prometheus_fidelity,prometheus_fidelity_vs_best,prometheus_fidelity_beats_both,sabre_tvd,tket_tvd,prometheus_tvd,prometheus_tvd_vs_best,prometheus_tvd_beats_both,sabre_xeb,tket_xeb,prometheus_xeb,prometheus_xeb_vs_best,prometheus_xeb_beats_both,sabre_entropy,tket_entropy,prometheus_entropy,sabre_hop,tket_hop,prometheus_hop,reference_ideal_entropy,sabre_ideal_entropy_error,tket_ideal_entropy_error,prometheus_ideal_entropy_error
dah7m99hvn6c73crkvr0,ibm_kingston,22,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-10T06:40:53.991931,2026-09-10T09:40:53.689300Z,2026-09-10T09:41:01.281958Z,2026-09-10T09:41:19.348855Z,SUCCESS,536,1003,569,386,707,391,YES,29ce636c899b1b01c8096ac25fa49a82d183777ddb6e8de44cfeb4aacae8eb64,0.06362260993800882,0.00025632717632632235,0.09441034803680498,(+48.4%),YES,0.8823362974237952,0.9939970636124011,0.8538835820129833,(-3.2%),YES,1087.4592419831233,7.957278621633245,1761.4273969917072,(+62.0%),YES,13.713783241728377,13.983962714385854,13.680723101686661,0.5828857421875,0.5828857421875,0.6346435546875,10.728147280808406,0.0,0.0,0.0
dah7m29hvn6c73crkvj0,ibm_fez,22,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-10T06:40:26.558074,2026-09-10T09:40:25.711886Z,2026-09-10T09:40:28.311439Z,2026-09-10T09:40:43.034411Z,SUCCESS,698,1003,484,568,707,336,YES,509d6a542fef59d922ca683aa77ec76643396debadd565c9dbc6b776595d86a2,0.00019131329967634613,0.0005002050324295239,0.027459444881083313,(+5389.6%),YES,0.9958812673140016,0.9923887154443077,0.9379372233483859,(-5.5%),YES,17.311965755528448,24.37768490662411,609.8649711682613,(+2401.7%),YES,13.9908447265625,13.984678982543416,13.885787886811695,0.49725341796875,0.6031494140625,0.53338623046875,10.728147280808406,0.0,0.0,0.0
dah7lqhhvn6c73crkv7g,ibm_marrakesh,22,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-10T06:39:55.059154,2026-09-10T09:39:54.607397Z,2026-09-10T09:46:22.271093Z,2026-09-10T09:46:37.331899Z,SUCCESS,549,1003,502,389,707,334,YES,e6dd09c54eae017a65b367c6cb95dd5e8e448871a9a5ffc7c0ac3a8880b13f79,0.10357230697341566,0.0021241703438118534,0.08148304153322629,(-21.3%),NO,0.8465129933693785,0.9854654813142469,0.8704874973878299,(+2.8%),NO,2071.200693709692,84.54977975663208,1617.2259815393663,(-21.9%),NO,13.633294211665808,13.977216539763479,13.67427578015096,0.63690185546875,0.555419921875,0.58697509765625,10.728147280808406,0.0,0.0,0.0
dah7jq39k43c73aedltg,ibm_fez,21,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-10T06:35:37.358358,2026-09-10T09:35:37.067241Z,2026-09-10T09:35:40.033922Z,2026-09-10T09:35:54.652557Z,SUCCESS,479,893,438,433,631,318,YES,de6200e32ee7b0c69db0798d6c0c0d870a3f7a4d9c69e8ee1bb0dbb55fe405f5,0.013279004095056649,0.0012333195432996645,0.034532393388195796,(+160.1%),YES,0.958866698611268,0.9871591509057771,0.9247751738394856,(-3.6%),YES,103.29966622494535,12.07972767108435,191.82434173942727,(+85.7%),YES,13.952820720123746,13.977400838470063,13.883739418140548,0.5380859375,0.6043701171875,0.5325927734375,11.248255498605449,0.0,0.0,0.0
dah7jq7i3e6s738nf8h0,ibm_kingston,21,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-10T06:35:37.324887,2026-09-10T09:35:37.025943Z,2026-09-10T09:35:40.561770Z,2026-09-10T09:35:55.274005Z,SUCCESS,492,893,555,442,631,458,YES,9501d5884c65cc4ba309e5e69a0e006bdea558334e18c06cb4896329db536cc1,0.10589069470132238,0.001968946072268718,0.08125843479049925,(-23.3%),NO,0.8384754186527832,0.9837009044865914,0.8694784087663043,(+3.7%),NO,600.6544872141839,18.747798770610533,380.5738263724597,(-36.6%),NO,13.643655137498351,13.953534899138479,13.782049644320852,0.62896728515625,0.56787109375,0.644775390625,11.248255498605449,0.0,0.0,0.0
dah7jdfi3e6s738nf7v0,ibm_marrakesh,21,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-10T06:34:45.783253,2026-09-10T09:34:45.164671Z,2026-09-10T09:38:04.600355Z,2026-09-10T09:38:19.651301Z,SUCCESS,470,893,434,375,631,311,YES,4eda0e5956fe3c9ad0115ce331b0ca0bc21abd5b23048416c87e80707efcd4ce,0.06407149251820009,0.013619161461613108,0.09039473664104616,(+41.1%),YES,0.8862790333381724,0.9573872904593733,0.8588537184869607,(-3.1%),YES,277.081153574046,104.89524502696348,394.4026227939945,(+42.3%),YES,13.816826143425756,13.936684212530512,13.756250684953045,0.60003662109375,0.5953369140625,0.6031494140625,11.248255498605449,0.0,0.0,0.0
dah7ekgmhr3c73e665kg,ibm_marrakesh,20,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-10T06:24:34.344164,2026-09-10T09:24:34.066702Z,2026-09-10T09:32:50.358972Z,2026-09-10T09:33:05.314617Z,SUCCESS,439,799,396,337,596,300,YES,e72f93cdd0691bda28442772e7de4ef8116f3c83fb65d5b078d455102a477c46,0.02925157973761014,0.006694178010314206,0.057724197308681474,(+97.3%),YES,0.9032468087112757,0.9578089826043814,0.8608549106316409,(-4.7%),YES,19.442951667178207,7.665736943085843,38.15833153926256,(+96.3%),YES,13.911173816892468,13.954859132382877,13.869707427507624,0.538818359375,0.53814697265625,0.5758056640625,13.343868218782976,0.0,0.0,0.0
dah7efgmhr3c73e665g0,ibm_kingston,20,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-10T06:24:15.264504,2026-09-10T09:24:14.804852Z,2026-09-10T09:24:17.348032Z,2026-09-10T09:24:35.919652Z,SUCCESS,600,799,409,512,596,315,YES,b7ea2f7fbb5a167f6bc70268ee1d8aa32397068fa4f99074266c9162af3f56cc,0.024903295703207592,0.002144463096267062,0.09807156119437317,(+293.8%),YES,0.9147412170419236,0.9788613151744139,0.8088810817663199,(-11.6%),YES,19.745876069125174,2.1114626948165642,58.14744456270627,(+194.5%),YES,13.927608044246366,13.943412057491415,13.811533683452438,0.5235595703125,0.48797607421875,0.6175537109375,13.343868218782976,0.0,0.0,0.0
dah7efb9k43c73aedfp0,ibm_fez,20,Dense All-to-All (K_N),16384,16384,3,49152,2026-09-10T06:24:14.185201,2026-09-10T09:24:13.776297Z,2026-09-10T09:24:40.175659Z,2026-09-10T09:24:54.915041Z,SUCCESS,474,799,405,390,596,315,YES,419303c27cc09acb6ae0d0761ccebfcdc0e8a595190736b1ce1f24e6b67110c7,0.02268284738390866,0.0021953876502365218,0.03569584662411765,(+57.4%),YES,0.9193487924054504,0.9779054915289529,0.8960165621331121,(-2.5%),YES,20.072441071313374,2.6433632183440388,27.109045795995165,(+35.1%),YES,13.938122077360617,13.971587538146707,13.921291075745167,0.53887939453125,0.5263671875,0.54302978515625,13.343868218782976,0.0,0.0,0.0
